disciplina_id;gran_area_codigo;gran_area_descripcion;area_codigo;area_descripcion;disciplina_codigo;disciplina_descripcion
105;2;INGENIERÍAS Y TECNOLOGÍAS;2.11;Otras Ingenierías y Tecnologías;2.11.0;SIN DATOS
106;2;INGENIERÍAS Y TECNOLOGÍAS;2.11;Otras Ingenierías y Tecnologías;2.11.1;Alimentos y Bebidas
107;2;INGENIERÍAS Y TECNOLOGÍAS;2.11;Otras Ingenierías y Tecnologías;2.11.2;Otras Ingenierías y Tecnologías
108;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.0;SIN DATOS;3.0.0;SIN DATOS
109;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.1;Medicina Básica;3.1.0;SIN DATOS
110;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.1;Medicina Básica;3.1.1;"Anatomía y Morfología (las Ciencias de las Plantas van en 1.6 ""Ciencias Biológicas"""
111;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.1;Medicina Básica;3.1.2;Genética Humana
112;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.1;Medicina Básica;3.1.3;Inmunología
113;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.1;Medicina Básica;3.1.4;Neurociencias (incluye Psicofiosiología)
114;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.1;Medicina Básica;3.1.5;Farmacología y Farmacia
115;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.1;Medicina Básica;3.1.6;Medicina Química
116;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.1;Medicina Básica;3.1.7;Toxicología
117;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.1;Medicina Básica;3.1.8;Fisiología (incluye Citología)
118;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.1;Medicina Básica;3.1.9;Patología
119;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.1;Medicina Básica;3.1.10;Bioquímica y Biología Molecular (ídem 1.6.3)
120;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.0;SIN DATOS
121;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.1;Andrología
122;3;CIENCIAS MÉDICAS Y DE LA SALUD;3.2;Medicina Clínica  ;3.2.2;Obstetricia y Ginecología
